
SetupTitle, FET Id-Vg
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU3:HR, Name=Vgate, Direction=Single, Linear/Log=LINEAR, Start=-9 V, Stop=2 V, Step=1 V, No. of Steps=NaN, Compliance=10 mA, Pwr Comp=OFF	[VAR2] Unit=SMU1:HP, Name=Vdrain, Start=0 V, Stop=NaN V, Step=100 mV, No. of Steps=16, Compliance=100 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU2:HR, Name=Vsource, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, Vdrain	0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5	0	0.1	16
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vgate, Vdrain, Idrain, gm
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, V, A, S
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, FET Id-Vg
Dimension1, 12, 12, 12, 12
Dimension2, 16, 16, 16, 16
DataName, Vgate, Vdrain, Idrain, gm
DataValue, -9, 0, 1.50231E-06, -6.8820600000000009E-07
DataValue, -8, 0, 8.14104E-07, -5.5071450000000006E-07
DataValue, -7, 0, 4.00881E-07, -3.219095E-07
DataValue, -6, 0, 1.70285E-07, -1.742255E-07
DataValue, -5, 0, 5.243E-08, -8.08825E-08
DataValue, -4, 0, 8.52E-09, -2.0981E-08
DataValue, -3, 0, 1.0468E-08, -1.07983E-07
DataValue, -2, 0, -2.07446E-07, -4.8672190000000009E-06
DataValue, -1, 0, -9.7239700000000017E-06, -4.809082E-06
DataValue, 0, 0, -9.82561E-06, 5.2803350000000008E-06
DataValue, 1, 0, 8.3670000000000007E-07, -0.0017995921950000001
DataValue, 2, 0, -0.00360901, -0.0036098467
DataValue, -9, 0.1, 1.23174E-06, -5.4798400000000007E-07
DataValue, -8, 0.1, 6.83756E-07, -4.46021E-07
DataValue, -7, 0.1, 3.39698E-07, -2.68795E-07
DataValue, -6, 0.1, 1.46166E-07, -1.467045E-07
DataValue, -5, 0.1, 4.6289E-08, -6.898299999999999E-08
DataValue, -4, 0.1, 8.2E-09, 1.7289005000000002E-06
DataValue, -3, 0.1, 3.50409E-06, 0.0042247409
DataValue, -2, 0.1, 0.00844949, 0.004404277955
DataValue, -1, 0.1, 0.00881206, 0.00021613500000000011
DataValue, 0, 0.1, 0.00888176, 4.7580000000000192E-05
DataValue, 1, 0.1, 0.00890722, -0.00141667
DataValue, 2, 0.1, 0.0060484200000000005, -0.0028588
DataValue, -9, 0.2, 1.26146E-06, -5.5548100000000013E-07
DataValue, -8, 0.2, 7.0597899999999995E-07, -4.5313050000000005E-07
DataValue, -7, 0.2, 3.55199E-07, -2.75158E-07
DataValue, -6, 0.2, 1.55663E-07, -1.51938E-07
DataValue, -5, 0.2, 5.1322999999999996E-08, -7.28925E-08
DataValue, -4, 0.2, 9.878E-09, 2.7739385E-06
DataValue, -3, 0.2, 5.5992000000000005E-06, 0.008368545061
DataValue, -2, 0.2, 0.0167371, 0.0087889504
DataValue, -1, 0.2, 0.017583500000000002, 0.00049754999999999938
DataValue, 0, 0.2, 0.0177322, 0.00010220000000000021
DataValue, 1, 0.2, 0.017787900000000002, -0.001089699999999999
DataValue, 2, 0.2, 0.015552800000000002, -0.0022351000000000003
DataValue, -9, 0.3, 1.30988E-06, -5.68837E-07
DataValue, -8, 0.3, 7.41043E-07, -4.661695E-07
DataValue, -7, 0.3, 3.77541E-07, -2.85897E-07
DataValue, -6, 0.3, 1.69249E-07, -1.599305E-07
DataValue, -5, 0.3, 5.768E-08, -7.8778E-08
DataValue, -4, 0.3, 1.1693E-08, 2.6254050000000002E-06
DataValue, -3, 0.3, 5.30849E-06, 0.012343594153500002
DataValue, -2, 0.3, 0.024687200000000003, 0.013103545755000001
DataValue, -1, 0.3, 0.026212400000000004, 0.0008824000000000002
DataValue, 0, 0.3, 0.026452000000000003, 0.00016354999999999842
DataValue, 1, 0.3, 0.0265395, -0.00081089999999999982
DataValue, 2, 0.3, 0.024830200000000004, -0.0017092999999999969
DataValue, -9, 0.4, 1.3683200000000002E-06, -5.8839200000000026E-07
DataValue, -8, 0.4, 7.79928E-07, -4.8267650000000015E-07
DataValue, -7, 0.4, 4.02967E-07, -2.98176E-07
DataValue, -6, 0.4, 1.83576E-07, -1.689795E-07
DataValue, -5, 0.4, 6.5008E-08, -8.4650000000000007E-08
DataValue, -4, 0.4, 1.4276E-08, 3.1018360000000007E-06
DataValue, -3, 0.4, 6.2686800000000009E-06, 0.016123942862
DataValue, -2, 0.4, 0.0322479, 0.017339865660000002
DataValue, -1, 0.4, 0.034686, 0.0013887500000000011
DataValue, 0, 0.4, 0.035025400000000005, 0.00023050000000000154
DataValue, 1, 0.4, 0.035147000000000005, -0.000576150000000001
DataValue, 2, 0.4, 0.0338731, -0.0012739000000000014
DataValue, -9, 0.5, 1.4360200000000002E-06, -6.034140000000003E-07
DataValue, -8, 0.5, 8.3260599999999993E-07, -5.0081300000000008E-07
DataValue, -7, 0.5, 4.3439399999999997E-07, -3.1500749999999994E-07
DataValue, -6, 0.5, 2.02591E-07, -1.8018599999999997E-07
DataValue, -5, 0.5, 7.4022E-08, -9.2606E-08
DataValue, -4, 0.5, 1.7379E-08, 3.6425390000000003E-06
DataValue, -3, 0.5, 7.3591E-06, 0.0196320413105
DataValue, -2, 0.5, 0.0392641, 0.02147447045
DataValue, -1, 0.5, 0.0429563, 0.0020715500000000019
DataValue, 0, 0.5, 0.043407200000000007, 0.0003032
DataValue, 1, 0.5, 0.0435627, -0.00038120000000000168
DataValue, 2, 0.5, 0.042644800000000004, -0.00091789999999999927
DataValue, -9, 0.6, 1.50495E-06, -6.3130800000000011E-07
DataValue, -8, 0.6, 8.73642E-07, -5.208525E-07
DataValue, -7, 0.6, 4.63245E-07, -3.273625E-07
DataValue, -6, 0.6, 2.18917E-07, -1.905185E-07
DataValue, -5, 0.6, 8.2208E-08, -9.93375E-08
DataValue, -4, 0.6, 2.0242E-08, 4.1818610000000006E-06
DataValue, -3, 0.6, 8.44593E-06, 0.022768289879000002
DataValue, -2, 0.6, 0.0455366, 0.025486277035
DataValue, -1, 0.6, 0.050981000000000005, 0.003008799999999999
DataValue, 0, 0.6, 0.0515542, 0.00038254999999999886
DataValue, 1, 0.6, 0.0517461, -0.0002168499999999976
DataValue, 2, 0.6, 0.051120500000000006, -0.000625599999999997
DataValue, -9, 0.70000000000000007, 1.5792800000000002E-06, -6.4799900000000016E-07
DataValue, -8, 0.70000000000000007, 9.31281E-07, -5.403375E-07
DataValue, -7, 0.70000000000000007, 4.98605E-07, -3.451095E-07
DataValue, -6, 0.70000000000000007, 2.41062E-07, -2.0269950000000002E-07
DataValue, -5, 0.70000000000000007, 9.3206E-08, -1.083305E-07
DataValue, -4, 0.70000000000000007, 2.4400999999999998E-08, 6.282097E-06
DataValue, -3, 0.70000000000000007, 1.26574E-05, 0.0255244377995
DataValue, -2, 0.70000000000000007, 0.0510489, 0.029375671300000003
DataValue, -1, 0.70000000000000007, 0.058764000000000004, 0.0042112000000000017
DataValue, 0, 0.70000000000000007, 0.059471300000000005, 0.00046629999999999935
DataValue, 1, 0.70000000000000007, 0.0596966, -8.1600000000001116E-05
DataValue, 2, 0.70000000000000007, 0.0593081, -0.00038849999999999996
DataValue, -9, 0.8, 1.6592800000000002E-06, -6.7767500000000025E-07
DataValue, -8, 0.8, 9.81605E-07, -5.6314500000000014E-07
DataValue, -7, 0.8, 5.3299E-07, -3.59657E-07
DataValue, -6, 0.8, 2.62291E-07, -2.141595E-07
DataValue, -5, 0.8, 1.04671E-07, -1.1669149999999998E-07
DataValue, -4, 0.8, 2.8908E-08, 5.3628145E-06
DataValue, -3, 0.8, 1.08303E-05, 0.027535235546
DataValue, -2, 0.8, 0.0550705, 0.03312973485
DataValue, -1, 0.8, 0.0662703, 0.0060302000000000029
DataValue, 0, 0.8, 0.067130900000000007, 0.00056359999999999744
DataValue, 1, 0.8, 0.0673975, 3.0399999999999872E-05
DataValue, 2, 0.8, 0.067191700000000007, -0.0002057999999999921
DataValue, -9, 0.9, 1.7402800000000002E-06, -7.0059900000000009E-07
DataValue, -8, 0.9, 1.039681E-06, -5.8484650000000011E-07
DataValue, -7, 0.9, 5.7058699999999995E-07, -3.7757500000000004E-07
DataValue, -6, 0.9, 2.84531E-07, -2.2705399999999996E-07
DataValue, -5, 0.9, 1.16479E-07, -1.253795E-07
DataValue, -4, 0.9, 3.3772E-08, 5.9971605E-06
DataValue, -3, 0.9, 1.2110800000000001E-05, 0.029079833114
DataValue, -2, 0.9, 0.0581597, 0.0367476446
DataValue, -1, 0.9, 0.0735074, 0.0081880500000000057
DataValue, 0, 0.9, 0.074535800000000013, 0.00066885000000000555
DataValue, 1, 0.9, 0.074845100000000012, 0.00012639999999999874
DataValue, 2, 0.9, 0.074788600000000011, -5.6500000000000994E-05
DataValue, -9, 1, 1.8244000000000003E-06, -6.4516000000000015E-07
DataValue, -8, 1, 1.1792400000000001E-06, -5.8577850000000011E-07
DataValue, -7, 1, 6.5284299999999994E-07, -4.311885000000001E-07
DataValue, -6, 1, 3.1686299999999997E-07, -2.6030699999999995E-07
DataValue, -5, 1, 1.3222899999999999E-07, -1.383405E-07
DataValue, -4, 1, 4.0182E-08, 7.0351355E-06
DataValue, -3, 1, 1.42025E-05, 0.030210579909000005
DataValue, -2, 1, 0.060421200000000008, 0.04024659875
DataValue, -1, 1, 0.0805074, 0.01066715
DataValue, 0, 1, 0.081755500000000009, 0.0008021
DataValue, 1, 1, 0.0821116, 0.00020309999999999773
DataValue, 2, 1, 0.0821617, 5.0099999999997369E-05
DataValue, -9, 1.1, 1.91587E-06, -7.9739000000000013E-07
DataValue, -8, 1.1, 1.11848E-06, -6.1910200000000009E-07
DataValue, -7, 1.1, 6.77666E-07, -3.9006800000000005E-07
DataValue, -6, 1.1, 3.38344E-07, -2.66394E-07
DataValue, -5, 1.1, 1.44878E-07, -1.461675E-07
DataValue, -4, 1.1, 4.6009E-08, 7.643461E-06
DataValue, -3, 1.1, 1.54318E-05, 0.030964076995500002
DataValue, -2, 1.1, 0.0619282, 0.04362073410000001
DataValue, -1, 1.1, 0.087256900000000012, 0.01341465
DataValue, 0, 1.1, 0.0887575, 0.0009517999999999957
DataValue, 1, 1.1, 0.0891605, 0.00025839999999999891
DataValue, 2, 1.1, 0.0892743, 0.00011379999999999724
DataValue, -9, 1.2, 2.0091900000000003E-06, -8.2780000000000015E-07
DataValue, -8, 1.2, 1.1813900000000002E-06, -6.4374600000000018E-07
DataValue, -7, 1.2, 7.21698E-07, -4.0734850000000007E-07
DataValue, -6, 1.2, 3.66693E-07, -2.8053899999999997E-07
DataValue, -5, 1.2, 1.6062E-07, -1.569205E-07
DataValue, -4, 1.2, 5.2851999999999996E-08, 8.45949E-06
DataValue, -3, 1.2, 1.70796E-05, 0.030980973574000002
DataValue, -2, 1.2, 0.061962, 0.046875010200000004
DataValue, -1, 1.2, 0.0937671, 0.016785400000000006
DataValue, 0, 1.2, 0.095532800000000015, 0.0011022499999999991
DataValue, 1, 1.2, 0.0959716, 0.0003037999999999999
DataValue, 2, 1.2, 0.096140400000000015, 0.00016880000000001061
DataValue, -9, 1.3, 2.1066500000000004E-06, -8.5870000000000035E-07
DataValue, -8, 1.3, 1.24795E-06, -6.6789200000000019E-07
DataValue, -7, 1.3, 7.70866E-07, -4.258415E-07
DataValue, -6, 1.3, 3.96267E-07, -2.968325E-07
DataValue, -5, 1.3, 1.77201E-07, -1.677145E-07
DataValue, -4, 1.3, 6.0838E-08, 9.3971495E-06
DataValue, -3, 1.3, 1.89715E-05, 0.030377469581000002
DataValue, -2, 1.3, 0.060755, 0.04999166425
DataValue, -1, 1.3, 0.1000023, 0.019624950000000002
DataValue, 0, 1.3, 0.10000490000000001, 1.4500000000000624E-06
DataValue, 1, 1.3, 0.1000052, 1.0000000000287557E-07
DataValue, 2, 1.3, 0.10000510000000001, -9.9999999988997779E-08
DataValue, -9, 1.4000000000000001, 2.22602E-06, -9.0342E-07
DataValue, -8, 1.4000000000000001, 1.3226E-06, -7.026170000000001E-07
DataValue, -7, 1.4000000000000001, 8.20786E-07, -4.47678E-07
DataValue, -6, 1.4000000000000001, 4.27244E-07, -3.13168E-07
DataValue, -5, 1.4000000000000001, 1.9445E-07, -1.791805E-07
DataValue, -4, 1.4000000000000001, 6.8883E-08, 1.0397925000000001E-05
DataValue, -3, 1.4000000000000001, 2.09903E-05, 0.030024915558500002
DataValue, -2, 1.4000000000000001, 0.0600499, 0.049992054850000009
DataValue, -1, 1.4000000000000001, 0.10000510000000001, 0.01997745
DataValue, 0, 1.4000000000000001, 0.1000048, -5.0000000001437783E-08
DataValue, 1, 1.4000000000000001, 0.10000500000000001, -9.9999999995936673E-08
DataValue, 2, 1.4000000000000001, 0.10000460000000001, -3.9999999999762448E-07
DataValue, -9, 1.5, 2.2631300000000004E-06, -8.9486000000000027E-07
DataValue, -8, 1.5, 1.3682700000000001E-06, -6.998205000000002E-07
DataValue, -7, 1.5, 8.63489E-07, -4.5617950000000004E-07
DataValue, -6, 1.5, 4.55911E-07, -3.255365E-07
DataValue, -5, 1.5, 2.12416E-07, -1.8884549999999998E-07
DataValue, -4, 1.5, 7.822E-08, 1.1213792E-05
DataValue, -3, 1.5, 2.264E-05, 0.029676460890000003
DataValue, -2, 1.5, 0.059353, 0.04999113
DataValue, -1, 1.5, 0.10000490000000001, 0.020325950000000002
DataValue, 0, 1.5, 0.10000490000000001, 1.9999999999881224E-07
DataValue, 1, 1.5, 0.1000053, 1.0000000000287557E-07
DataValue, 2, 1.5, 0.10000510000000001, -1.9999999999187335E-07
SetupTitle, FET Id-Vg
PrimitiveTest, I/V Sweep
TestParameter, Context.MainFrame, B1500A
TestParameter, Channel.UnitType, SMU, SMU, SMU
TestParameter, Channel.Unit, Gate, Source, Drain
TestParameter, Channel.IName, Igate, Isource, Idrain
TestParameter, Channel.VName, Vgate, Vsource, Vdrain
TestParameter, Channel.Mode, V, V, V
TestParameter, Channel.Func, VAR1, CONST, VAR2
TestParameter, Channel.Index, 
TestParameter, Channel.Time, 
TestParameter, Measurement.Port.Unit, Gate, Source, Drain
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE, NONE
TestParameter, Measurement.Port.Filter, OFF, OFF, OFF
TestParameter, Measurement.Port.OutputVoltageComparison, 0, 0, 0
TestParameter, Measurement.Primary.Locus, Single
TestParameter, Measurement.Primary.Scale, LINEAR
TestParameter, Measurement.Primary.Start, VgStart*Polarity
TestParameter, Measurement.Primary.Stop, VgStop*Polarity
TestParameter, Measurement.Primary.Step, VgStep*Polarity
TestParameter, Measurement.Primary.Compliance, IgLimit
TestParameter, Measurement.Primary.PowerCompliance, 0
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY
TestParameter, Measurement.PostOutput.Value, START
TestParameter, Measurement.PostOutput.Retention, OFF
TestParameter, Measurement.Secondary.Start, VdStart*Polarity
TestParameter, Measurement.Secondary.Count, abs((VdStop-VdStart)/VdStep)+1
TestParameter, Measurement.Secondary.Step, cond(VdStart,VdStop,abs(VdStep)*Polarity,-abs(VdStep)*Polarity)
TestParameter, Measurement.Secondary.Compliance, IdMax
TestParameter, Measurement.Secondary.PowerCompliance, 0
TestParameter, Measurement.Bias.Source, -9, Vs*Polarity, 0
TestParameter, Measurement.Bias.Compliance, 0.01, IdMax, 0.099999999999999992
TestParameter, Measurement.Monitor.Unit, SMU:=Gate, SMU:=Source, SMU:=Drain
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC, HR ADC
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side, Compliance Side
